id,first_name,last_name,state,birthday,age,gender,acct_created_date
42,Michelle,Weaver,MD,1984-10-07,32,F,2002-11-30
44,Rhonda,Stephens,NM,1997-10-30,19,F,2011-08-19
45,Cristina,Rose,IA,1974-07-23,42,F,2014-01-11
48,Christine,Lewis,MS,1995-08-29,21,F,2014-04-28
52,Jordan,Garcia,IN,1974-08-26,42,F,2014-12-01
54,Amy,Hale,OR,1994-02-17,23,F,2008-08-10
57,Sandra,Green,NM,1989-05-18,27,F,2015-03-19
58,Heather,Allen,NM,1991-03-07,25,F,2010-01-26
61,Pamela,Johnson,AK,2001-06-15,15,F,2015-09-11
62,Kathleen,Mcdowell,KS,1984-11-06,32,F,2013-10-09
64,Anna,Ward,VA,1995-11-02,21,F,2009-11-18
66,Emily,White,OR,1988-12-10,28,F,2015-05-17
67,Eloise,Bailey,MD,1984-08-11,32,F,2007-12-11
68,Vanessa,Wilson,FL,1954-03-02,63,F,2008-09-21
69,Maryann,Rose,MN,1990-08-29,26,F,2002-05-10
71,Jeanne,Torres,RI,1966-02-10,51,F,2000-12-22
72,Carrie,Shaw,OR,1971-01-16,46,F,2011-07-25
74,Bertha,Watson,VT,1972-12-12,44,F,2007-05-28
76,Janet,Warren,WI,1978-07-26,38,F,2012-04-22
77,Cynthia,Robinson,MT,1985-02-28,32,F,2005-09-03
78,Cheryl,Quinn,KY,1952-02-13,65,F,2012-08-16
79,Sadie,Daniel,TN,1986-02-04,31,F,2011-12-01
81,Misty,Davis,IA,1973-01-20,44,F,2000-06-18
82,Isabel,Sloan,FL,1974-08-26,42,F,2012-12-03
84,Laura,Robinson,TN,1974-05-15,42,F,2009-12-30
85,Suzanne,Bryant,NM,1997-01-16,20,F,2015-12-30
86,Shirley,Gutierrez,OR,1991-01-02,26,F,2002-11-27
88,Mary,Blake,ND,1998-01-07,19,F,2010-12-25
92,Jill,Chapman,NC,1997-02-03,20,F,2014-04-28
93,Mary,Sanders,MO,2001-06-09,15,F,2015-09-26
95,Helen,Taylor,WY,1961-10-24,55,F,2007-10-05
97,Amy,Boyd,LA,1998-10-17,18,F,2011-07-04
98,Ruby,Brown,OH,1998-07-20,18,F,2013-04-14
99,Marcella,Adkins,ND,2002-05-06,14,F,2015-11-10
